"plan_id","feature_id","created"
345,2,"2017-12-05 14:41:26.195251+00"
346,2,"2017-12-07 19:14:19.016186+00"
351,2,"2017-12-08 17:09:19.030254+00"
352,2,"2017-12-08 17:10:26.481839+00"
353,2,"2017-12-08 17:11:12.16079+00"
354,2,"2017-12-08 17:11:45.694466+00"
355,2,"2017-12-12 16:45:04.946006+00"
356,2,"2017-12-12 20:37:59.4711+00"
357,2,"2017-12-13 17:25:51.154786+00"
358,2,"2017-12-13 17:29:23.439996+00"
359,2,"2017-12-13 17:33:26.38654+00"
360,2,"2017-12-13 17:35:33.310859+00"
361,2,"2017-12-14 16:12:51.356206+00"
362,2,"2017-12-14 16:14:21.545474+00"
363,2,"2017-12-14 16:15:15.102004+00"
364,2,"2017-12-14 16:15:51.627291+00"
365,2,"2017-12-14 16:16:44.350791+00"
366,2,"2017-12-20 15:05:25.385691+00"
367,2,"2017-12-20 15:13:08.865924+00"
368,2,"2017-12-20 15:20:35.713189+00"
369,2,"2017-12-20 15:24:32.707869+00"
370,2,"2017-12-20 15:56:25.558148+00"
371,2,"2017-12-20 15:57:33.897695+00"
372,2,"2017-12-20 15:58:08.874219+00"
373,2,"2017-12-20 15:58:42.971142+00"
374,2,"2017-12-20 15:59:11.716029+00"
375,2,"2017-12-21 19:36:56.075716+00"
376,2,"2017-12-22 15:36:21.668779+00"
78,2,"2017-05-08 19:25:55.443131+00"
377,2,"2018-01-12 18:26:08.234819+00"
378,2,"2018-01-12 18:31:49.839464+00"
379,2,"2018-01-12 18:31:51.361233+00"
380,2,"2018-01-12 18:31:52.780642+00"
381,2,"2018-01-12 18:31:54.429492+00"
382,2,"2018-01-12 18:31:55.955272+00"
383,2,"2018-01-12 18:31:57.418403+00"
384,2,"2018-01-12 18:31:59.34716+00"
385,2,"2018-01-12 18:32:00.841232+00"
386,2,"2018-01-12 18:32:02.36967+00"
387,2,"2018-01-12 18:32:04.041407+00"
388,2,"2018-01-12 18:32:05.820314+00"
389,2,"2018-01-12 18:32:07.360917+00"
390,2,"2018-01-12 18:32:08.90483+00"
391,2,"2018-01-12 18:32:10.413705+00"
392,2,"2018-01-12 18:32:11.940857+00"
393,2,"2018-01-12 18:32:13.703253+00"
394,2,"2018-01-12 18:32:15.449217+00"
395,2,"2018-01-12 18:32:16.902809+00"
396,2,"2018-01-12 18:32:18.520311+00"
397,2,"2018-01-12 18:32:20.215745+00"
398,2,"2018-01-12 18:32:21.882711+00"
399,2,"2018-01-12 18:32:23.498535+00"
400,2,"2018-01-12 18:32:25.560092+00"
401,2,"2018-01-12 18:32:27.194825+00"
402,2,"2018-01-12 18:32:28.950765+00"
403,2,"2018-01-12 18:32:30.601035+00"
404,2,"2018-01-12 18:32:32.898035+00"
405,2,"2018-01-12 18:32:34.569067+00"
406,2,"2018-01-12 18:32:36.164238+00"
407,2,"2018-01-12 18:32:37.644742+00"
408,2,"2018-01-12 18:32:39.100891+00"
409,2,"2018-01-12 18:32:40.695504+00"
410,2,"2018-01-12 18:32:43.175453+00"
411,2,"2018-01-12 18:32:45.295026+00"
412,2,"2018-01-12 18:32:47.145047+00"
413,2,"2018-01-12 18:32:48.902758+00"
414,2,"2018-01-12 18:32:50.514292+00"
415,2,"2018-01-12 18:32:52.133346+00"
416,2,"2018-01-12 18:32:53.74531+00"
417,2,"2018-01-15 20:19:37.357747+00"
418,2,"2018-01-15 20:19:38.861499+00"
419,2,"2018-01-16 19:38:56.811872+00"
420,2,"2018-01-16 19:39:50.514255+00"
421,2,"2018-01-16 19:40:27.858479+00"
422,2,"2018-01-16 19:41:07.742598+00"
423,2,"2018-01-16 19:41:40.395365+00"
424,2,"2018-01-16 22:20:17.322054+00"
425,2,"2018-01-17 21:21:21.112242+00"
426,2,"2018-01-18 19:37:29.837178+00"
427,2,"2018-01-18 19:38:15.900133+00"
428,2,"2018-01-18 19:39:35.875088+00"
429,2,"2018-01-18 19:40:26.552838+00"
430,2,"2018-01-18 19:55:42.470004+00"
432,2,"2018-01-22 16:58:07.587157+00"
433,2,"2018-01-23 22:38:40.894628+00"
434,2,"2018-01-23 22:39:50.309519+00"
435,2,"2018-01-23 22:40:28.197479+00"
436,2,"2018-01-24 17:51:39.295683+00"
437,2,"2018-01-24 17:58:44.773581+00"
438,2,"2018-01-24 17:59:30.412099+00"
439,2,"2018-01-24 18:00:10.656053+00"
440,2,"2018-01-24 18:00:47.738638+00"
441,2,"2018-01-24 18:01:28.398067+00"
442,2,"2018-01-24 18:02:08.322261+00"
443,2,"2018-01-24 19:46:37.850409+00"
444,2,"2018-01-24 21:43:55.607421+00"
445,2,"2018-01-26 13:42:41.652354+00"
446,2,"2018-01-30 16:47:57.811983+00"
447,2,"2018-01-31 20:04:42.058388+00"
448,2,"2018-02-06 20:06:38.293539+00"
449,2,"2018-02-08 00:04:15.048845+00"
450,2,"2018-02-12 16:53:08.77141+00"
451,2,"2018-02-12 18:20:12.430608+00"
452,2,"2018-02-12 19:03:38.478505+00"
453,2,"2018-02-12 20:56:05.590716+00"
454,2,"2018-02-13 15:05:17.895136+00"
455,2,"2018-02-14 14:44:10.554138+00"
456,2,"2018-02-14 14:44:48.14646+00"
457,2,"2018-02-16 19:53:12.802587+00"
458,2,"2018-02-19 16:26:38.779097+00"
459,2,"2018-02-20 16:18:41.357677+00"
460,2,"2018-02-20 16:19:58.507793+00"
461,2,"2018-02-20 18:58:31.343385+00"
462,2,"2018-02-22 16:21:36.430975+00"
463,2,"2018-02-22 21:07:39.567835+00"
464,2,"2018-02-22 21:08:28.843554+00"
465,2,"2018-02-23 03:42:18.634598+00"
466,2,"2018-02-23 18:29:09.513551+00"
467,2,"2018-02-23 19:10:26.342102+00"
490,2,"2018-02-25 10:25:15.558741+00"
491,2,"2018-02-25 15:57:15.280738+00"
492,2,"2018-02-26 20:13:36.967727+00"
493,2,"2018-02-26 20:14:10.206288+00"
494,2,"2018-02-26 21:42:35.666169+00"
495,2,"2018-02-26 21:43:14.473008+00"
496,2,"2018-02-27 17:39:29.705114+00"
497,2,"2018-02-27 17:41:01.516336+00"
498,2,"2018-02-28 20:07:35.650243+00"
499,2,"2018-03-05 19:54:31.405197+00"
500,2,"2018-03-07 16:03:27.777534+00"
501,2,"2018-03-08 21:18:03.246859+00"
502,2,"2018-03-08 21:31:56.496417+00"
503,2,"2018-03-08 21:48:07.059222+00"
504,2,"2018-03-12 18:32:18.811141+00"
505,2,"2018-03-13 15:31:54.88859+00"
506,2,"2018-03-13 15:32:54.847296+00"
507,2,"2018-03-13 15:33:40.39456+00"
508,2,"2018-03-14 18:09:17.642828+00"
509,2,"2018-03-14 18:10:09.556395+00"
510,2,"2018-03-15 18:27:15.542899+00"
511,2,"2018-03-16 17:15:15.409808+00"
512,2,"2018-03-19 15:44:05.196308+00"
513,2,"2018-03-21 14:06:49.736611+00"
514,2,"2018-03-22 15:27:35.723912+00"
515,2,"2018-03-22 15:29:19.502306+00"
516,2,"2018-03-22 15:31:41.886146+00"
517,2,"2018-03-22 15:32:29.355907+00"
518,2,"2018-03-22 15:33:16.855104+00"
519,2,"2018-03-22 15:34:39.056367+00"
520,2,"2018-03-22 15:35:37.511114+00"
521,2,"2018-03-22 19:25:18.879443+00"
522,2,"2018-03-22 20:06:15.797957+00"
523,2,"2018-03-23 05:14:27.984278+00"
530,2,"2018-03-23 18:07:43.652858+00"
531,2,"2018-04-05 20:01:00.743115+00"
532,2,"2018-04-06 19:44:58.117003+00"
533,2,"2018-04-09 13:53:42.130297+00"
534,2,"2018-04-10 19:41:09.441655+00"
535,2,"2018-04-11 17:14:05.114234+00"
536,2,"2018-04-16 16:30:42.463844+00"
537,2,"2018-04-16 17:23:49.134137+00"
538,2,"2018-04-16 21:10:01.485516+00"
539,2,"2018-04-17 00:27:38.05123+00"
